ID,Titre,Prix,Date de publication,Année,Type de carburant,Transmission,Créateur,URL de l'annonce,Dossier d'images
1,land-rover discovery sport,300 000 DH,2025-03-02 20:16:51,2020,Diesel,Automatique,Voitures particuliers certifiées,https://www.avito.ma/fr/oasis/voitures_d'occasion/land_rover_discovery_sport_56132023.htm,1_land-rover_discovery_sport
2,moto,10 000 DH,2025-03-02 20:19:51,2024,N/A,N/A,Imad Ek,https://www.avito.ma/fr/hay_moulay_rachid/motos/moto__56170282.htm,2_moto
3,volkswagen,Prix non spécifié,2025-03-02 20:18:51,2003,Diesel,Manuelle,بلال,https://www.avito.ma/fr/hamria/voitures_d'occasion/volkswagen__56170281.htm,3_volkswagen
4,Toyota Hilux,175 000 DH,2025-03-02 20:18:51,2016,Diesel,Automatique,debbahi,https://www.avito.ma/fr/sidi_kacem/voitures_d'occasion/Toyota_Hilux__56170280.htm,4_Toyota_Hilux
5,dacia,Prix non spécifié,2025-03-02 20:18:51,2013,Diesel,Manuelle,بلال,https://www.avito.ma/fr/hamria/voitures_d'occasion/dacia__56170279.htm,5_dacia
6,mogamo rwayid d 29,2 200 DH,2025-03-02 20:18:52,2 200,N/A,N/A,Hamzza,https://www.avito.ma/fr/el_matar/v%C3%A9los/mogamo_rwayid_d_29_56170278.htm,6_mogamo_rwayid_d_29
7,Mercedes-Benz Classe E Diesel Automatique 2014,195 000 DH,2025-03-02 20:15:52,2014,Diesel,Automatique,Vendez Votre VoitureShopBadge Icon,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/voitures_d'occasion/Mercedes_Benz_Classe_E_Diesel_Automatique_2014_56134343.htm,7_Mercedes-Benz_Classe_E_Diesel_Automatique_2014
8,HYUNDAI TUCSON ULTIMATE 2022,329 000 DH,2025-03-02 20:12:52,2022,Diesel,Automatique,Voitures particuliers certifiées,https://www.avito.ma/fr/bournazil/voitures_d'occasion/HYUNDAI_TUCSON_ULTIMATE_2022__56154565.htm,8_HYUNDAI_TUCSON_ULTIMATE_2022
9,كونغو للبيع,Prix non spécifié,2025-03-02 20:17:52,2000,Diesel,Manuelle,said,https://www.avito.ma/fr/bouaakkaz/voitures_d'occasion/%D9%83%D9%88%D9%86%D8%BA%D9%88_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_56170276.htm,9_كونغو_للبيع
10,DOCKER TANK,Prix non spécifié,2025-03-02 20:17:52,2023,N/A,N/A,Rida,https://www.avito.ma/fr/allal_el_fassi/motos/DOCKER_TANK__56170274.htm,10_DOCKER_TANK
11,renault,155 000 DH,2025-03-02 20:17:52,2017,Diesel,Manuelle,Mr Abdou,https://www.avito.ma/fr/annakhil/voitures_d'occasion/renault__56170272.htm,11_renault
12,Volkswagen Tiguan Diesel Automatique 2020,Prix non spécifié,2025-03-02 20:17:52,2020,Diesel,Automatique,Bk,https://www.avito.ma/fr/hay_inara/voitures_d'occasion/Volkswagen_Tiguan_Diesel_Automatique_2020_56170271.htm,12_Volkswagen_Tiguan_Diesel_Automatique_2020
13,Volkswagen Touareg 2009 Première Main,90 000 DH,2025-03-02 20:17:52,2009,Diesel,Automatique,hassan,https://www.avito.ma/fr/atlas/voitures_d'occasion/Volkswagen_Touareg_2009__Premi%C3%A8re_Main_56170270.htm,13_Volkswagen_Touareg_2009_Première_Main
14,Mini Cooper,60 000 DH,2025-03-02 20:17:53,2010,Essence,Manuelle,Radoua ne,https://www.avito.ma/fr/massira/voitures_d'occasion/Mini_Cooper_56170269.htm,14_Mini_Cooper
15,Belle Audi A4 premium,265 000 DH,2025-03-02 20:17:53,2020,Diesel,Automatique,Particulier,https://www.avito.ma/fr/casablanca_finance_city/voitures_d'occasion/Belle_Audi_A4_premium_56170268.htm,15_Belle_Audi_A4_premium
16,Location de voitures,Prix non spécifié,2025-03-02 20:11:53,N/A,N/A,N/A,vog car,https://www.avito.ma/fr/anfa/voitures_de_location/Location_de_voitures_55826875.htm,16_Location_de_voitures
17,Fiat 500 Essence Automatique 2021 à Salé,137 000 DH,2025-03-02 20:15:53,2021,Essence,Automatique,Auto SaharaShopBadge Icon,https://www.avito.ma/fr/tabriquet/voitures_d'occasion/Fiat_500_Essence_Automatique_2021_%C3%A0_Sal%C3%A9_55976379.htm,17_Fiat_500_Essence_Automatique_2021_à_Salé
18,HYUNDAI TUCSON 2021 DIÉSEL,270 000 DH,2025-03-02 20:15:53,2021,Diesel,Automatique,Youssef,https://www.avito.ma/fr/hay_al_farah/voitures_d'occasion/HYUNDAI_TUCSON_2021_DI%C3%89SEL__56170267.htm,18_HYUNDAI_TUCSON_2021_DIÉSEL
19,شارع البحرية المرسى,16 000 DH,2025-03-02 20:15:53,N/A,Essence,Manuelle,محمد بلغازي,https://www.avito.ma/fr/la%C3%A2youne/voitures_d'occasion/%D8%B4%D8%A7%D8%B1%D8%B9_%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%89_56170266.htm,19_شارع_البحرية_المرسى
20,Honda CBR 600 RR - WW Maroc,67 000 DH,2025-03-02 20:15:53,2012,N/A,N/A,Hamza,https://www.avito.ma/fr/el_youssoufia/motos/Honda_CBR_600_RR___WW_Maroc_56170265.htm,20_Honda_CBR_600_RR_-_WW_Maroc
21,clio 4 avender,143 000 DH,2025-03-02 20:15:53,2021,Diesel,Automatique,ABDERRAHIM,https://www.avito.ma/fr/al_qods/voitures_d'occasion/clio_4_avender__56170264.htm,21_clio_4_avender
22,megane rouge,60 000 DH,2025-03-02 20:15:53,2003,Essence,Manuelle,BENNOUNA,https://www.avito.ma/fr/californie/voitures_d'occasion/megane_rouge__56170263.htm,22_megane_rouge
23,Seat Leon Diesel Manuelle 2019 à Temara,168 000 DH,2025-03-02 20:15:54,2019,Diesel,Manuelle,Ismail,https://www.avito.ma/fr/wifak/voitures_d'occasion/Seat_Leon_Diesel_Manuelle_2019_%C3%A0_Temara_56170262.htm,23_Seat_Leon_Diesel_Manuelle_2019_à_Temara
24,Nissan Juke a vendre,128 000 DH,2025-03-02 20:15:54,2016,Diesel,Manuelle,Benchekroun,https://www.avito.ma/fr/agdal/voitures_d'occasion/Nissan_Juke_a_vendre__56170261.htm,24_Nissan_Juke_a_vendre
25,Dacia Duster,118 000 DH,2025-03-02 20:15:54,2017,Diesel,Manuelle,Othmane,https://www.avito.ma/fr/hay_salam/voitures_d'occasion/Dacia_Duster_56170260.htm,25_Dacia_Duster
26,ford focus rs,Prix non spécifié,2025-03-02 20:15:54,2016,Diesel,Manuelle,amine megrini,https://www.avito.ma/fr/hay_essalam/voitures_d'occasion/ford_focus_rs_56170259.htm,26_ford_focus_rs
27,Yamaha tracer 900gt,128 000 DH,2025-03-02 20:15:54,2019,N/A,N/A,Islam,https://www.avito.ma/fr/sidi_bouzid/motos/Yamaha_tracer_900gt__56170258.htm,27_Yamaha_tracer_900gt
28,Tata Xenon Diesel Manuelle 2023 à Casablanca,Prix non spécifié,2025-03-02 20:14:54,2023,Diesel,Manuelle,MILOUDShopBadge Icon,https://www.avito.ma/fr/2_mars/voitures_d'occasion/Tata_Xenon_Diesel_Manuelle_2023_%C3%A0_Casablanca_56113444.htm,28_Tata_Xenon_Diesel_Manuelle_2023_à_Casablanca
29,RANGE ROVER VELAR M2018,Prix non spécifié,2025-03-02 20:11:54,20,Diesel,Automatique,SOULTANA AUTOShopBadge Icon,https://www.avito.ma/fr/zerhounia/voitures_d'occasion/RANGE_ROVER_VELAR_M2018__56109774.htm,29_RANGE_ROVER_VELAR_M2018
30,Mercedes classe c220 d,Prix non spécifié,2025-03-02 20:13:54,2016,Diesel,Automatique,Auto SaharaShopBadge Icon,https://www.avito.ma/fr/tabriquet/voitures_d'occasion/Mercedes_classe_c220_d__54687546.htm,30_Mercedes_classe_c220_d
31,☝️1ÈRE MAIN CITROEN C5 AIRCROSS 2.0D 180CH SHINE,245 000 DH,2025-03-02 20:08:55,20,Diesel,Automatique,LAACHIRI AUTOShopBadge Icon,https://www.avito.ma/fr/californie/voitures_d'occasion/__1%C3%88RE_MAIN_CITROEN_C5_AIRCROSS_2_0D_180CH_SHINE_55904115.htm,31_1ÈRE_MAIN_CITROEN_C5_AIRCROSS_20D_180CH_SHINE
