ID,Titre,Prix,Date de publication,Année,Type de carburant,Transmission,Kilométrage,Puissance fiscale,Nombre de portes,Première main,Dédouané,Description,Sector,Créateur,URL de l'annonce,Dossier d'images,Nombre d'images
453888,MINI  Cooper,172 000 Dhs,02-03-2025,2017,Essence,Manuelle,59 000,9,3,Oui,2017,Possibilité de reprise.,Casablanca,BMW PREMIUM SELECTION,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/453888/mini-cooper-.html,453888_MINI_Cooper,3
456244,NISSAN  Qashqai,185 000 Dhs,02-03-2025,2015,Diesel,Automatique,74 000,8,5,Oui,2015,Possibilité de reprendre une bmw ou mini.,Casablanca,BMW PREMIUM SELECTION,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/456244/nissan-qashqai-.html,456244_NISSAN_Qashqai,3
456245,BMW  Serie 3 Lounge,330 000 Dhs,02-03-2025,2020,Diesel,Automatique,149 000,8,5,Oui,2020,"Bmw s3 18d 150cv jante 17 caméra de recul volant cuir multifonctions. rétroviseur electrique possibilité de financement. nous pouvons reprendre votre voiture actuelle. pour plus d'informations, n'hésitez pas à nous contacter.",Casablanca,BMW PREMIUM SELECTION,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/456245/bmw-serie-3-lounge.html,456245_BMW_Serie_3_Lounge,9
465827,LEXUS  Autre,450 000 Dhs,02-03-2025,2023,Hybride,Automatique,49 000,14,5,Oui,2023,Possibilité de reprendre une bmw ou mini.,Casablanca,BMW PREMIUM SELECTION,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465827/lexus-autre-.html,465827_LEXUS_Autre,5
466638,BMW  Serie 6,470 000 Dhs,02-03-2025,2021,Diesel,Automatique,99 000,12,5,Oui,2021,Possibilité de reprise.,Casablanca,BMW PREMIUM SELECTION,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466638/bmw-serie-6-.html,466638_BMW_Serie_6,4
435903,FIAT  500,Appeler pour le prix,02-03-2025,2022,Essence,Automatique,30 000,7,3,Oui,,"fiat 500 1ere main, essence , boite automatique ,modèle 2022 , jantes aluminium , vitres électrique , climatisation , radar de recul , siéges cuir ,touts options .... 
véhicule en parfait état, entièrement révisé et contrôlé par nos techniciens.
pour plus de renseignement appelez téléphone fixe (voir description boutique complexe auto) .",Casablanca,COMPLEX AUTO,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435903/fiat-500-.html,435903_FIAT_500,6
435175,RENAULT  Clio,Appeler pour le prix,02-03-2025,2021,Essence,Automatique,47 000,6,5,Oui,,Renault clio 2021,Casablanca,COMPLEX AUTO,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435175/renault-clio-.html,435175_RENAULT_Clio,9
421435,JAGUAR  Type x,78 000 Dhs,02-03-2025,2009,Essence,Automatique,110 000,11,4,,,"Une voiture dans un état irréprochable, boîte auto, faible kilométrage, entretien et pièces de rechange maison...",Rabat,MR. WALID,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/421435/jaguar-type-x-.html,421435_JAGUAR_Type_x,8
457738,LEXUS  Lx,Appeler pour le prix,01-03-2025,2000,Essence,Automatique,159 000,26,5,,2000,Lexus v8 essence en parfait État bien entretenu contacter select garantie.,Marrakech,SELECT GARANTIE,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/457738/lexus-lx-.html,457738_LEXUS_Lx,20
466480,LAND-ROVER  Range rover sport,Appeler pour le prix,01-03-2025,2021,Diesel,Automatique,64 000,12,5,Oui,2021,Range rover sport en excellent État bien entretenu contacter select garantie.,Marrakech,SELECT GARANTIE,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466480/land-rover-range-rover-sport-.html,466480_LAND-ROVER_Range_rover_sport,18
