ID,Titre,Prix,Date de publication,Année,Type de carburant,Créateur,Ville,URL de l'annonce,Image URL
1,FORD Kuga,200.000 DH,2 mars 2025,2019,Diesel,Particulier,Beni Mellal,https://www.wandaloo.com/occasion/ford-kuga-diesel-occasion-beni-mellal-maroc/43199.html,https://www.wandaloo.com/files/Voiture-Occasion/2025/03/67c45a3c4f241.jpg
2,PEUGEOT 3008,210.000 DH,2 mars 2025,2018,Diesel,Particulier,Rabat,https://www.wandaloo.com/occasion/peugeot-3008-diesel-occasion-rabat-maroc/43166.html,https://www.wandaloo.com/files/Voiture-Occasion/2025/02/67b9c5ac53c5f.jpg
3,BMW X1,225.000 DH,2 mars 2025,2016,Diesel,Particulier,Rabat,https://www.wandaloo.com/occasion/bmw-x1-diesel-occasion-rabat-maroc/43200.html,https://www.wandaloo.com/files/Voiture-Occasion/2025/03/67c4a107e8f51.jpeg
4,JAGUAR XE,265.000 DH,2 mars 2025,2019,Diesel,Pro,Casablanca,https://www.wandaloo.com/occasion/jaguar-xe-diesel-occasion-casablanca-maroc/38575.html,https://www.wandaloo.com/files/Voiture-Occasion/2023/10/678788ce5209d.jpg
5,VOLKSWAGEN Coccinelle,260.000 DH,2 mars 2025,2017,Diesel,Pro,Casablanca,https://www.wandaloo.com/occasion/volkswagen-coccinelle-diesel-occasion-casablanca-maroc/38573.html,https://www.wandaloo.com/files/Voiture-Occasion/2023/10/67878a4581216.jpg
6,LAND ROVER Range Rover Sport,520.000 DH,2 mars 2025,2020,Diesel,Pro,Casablanca,https://www.wandaloo.com/occasion/land-rover-range-rover-sport-diesel-occasion-casablanca-maroc/38190.html,https://www.wandaloo.com/files/Voiture-Occasion/2023/07/67a39f4183d76.jpg
7,JEEP Wrangler,320.000 DH,2 mars 2025,2018,Diesel,Pro,Casablanca,https://www.wandaloo.com/occasion/jeep-wrangler-diesel-occasion-casablanca-maroc/38042.html,https://www.wandaloo.com/files/Voiture-Occasion/2023/06/66990a53bd222.jpg
8,MINI Cooper 5 portes,90.000 DH,2 mars 2025,2007,Essence,Pro,Casablanca,https://www.wandaloo.com/occasion/mini-cooper-5-portes-essence-occasion-casablanca-maroc/38195.html,https://www.wandaloo.com/files/Voiture-Occasion/2023/07/67a39ad71a951.jpg
9,MINI Cooper 5 portes,180.000 DH,2 mars 2025,2018,Essence,Pro,Casablanca,https://www.wandaloo.com/occasion/mini-cooper-5-portes-essence-occasion-casablanca-maroc/41975.html,https://www.wandaloo.com/files/Voiture-Occasion/2024/04/67910adb93994.jpg
10,BMW Série 1,365.000 DH,2 mars 2025,2021,Diesel,Pro,Casablanca,https://www.wandaloo.com/occasion/bmw-serie-1-diesel-occasion-casablanca-maroc/41538.html,https://www.wandaloo.com/files/Voiture-Occasion/2024/01/67c0ceb54db69.jpg
11,JEEP Wrangler,380.000 DH,2 mars 2025,2019,Diesel,Pro,Casablanca,https://www.wandaloo.com/occasion/jeep-wrangler-diesel-occasion-casablanca-maroc/42714.html,https://www.wandaloo.com/files/Voiture-Occasion/2024/11/67a39964c4dc2.jpg
12,VOLKSWAGEN Coccinelle,250.000 DH,2 mars 2025,2019,Diesel,Pro,Casablanca,https://www.wandaloo.com/occasion/volkswagen-coccinelle-diesel-occasion-casablanca-maroc/42305.html,https://www.wandaloo.com/files/Voiture-Occasion/2024/07/67c202109ff40.jpg
13,RENAULT Clio,160.000 DH,2 mars 2025,2022,Essence,Pro,Casablanca,https://www.wandaloo.com/occasion/renault-clio-essence-occasion-casablanca-maroc/43196.html,https://www.wandaloo.com/files/Voiture-Occasion/2025/02/67c0d0e3c6888.jpg
14,VOLKSWAGEN Tiguan,260.000 DH,1 mars 2025,2018,Diesel,Particulier,Safi,https://www.wandaloo.com/occasion/volkswagen-tiguan-diesel-occasion-safi-maroc/43198.html,https://www.wandaloo.com/files/Voiture-Occasion/2025/03/67c35645cb73c.jpeg
